"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,10,30,725,730,-5,918,929,-11,"DL",831,"N333NB","LGA","DTW",91,502,7,30,2013-10-30 07:00:00
2013,3,31,1111,1115,-4,1353,1416,-23,"DL",1875,"N364NW","LGA","TPA",148,1010,11,15,2013-03-31 11:00:00
2013,6,23,1539,1545,-6,1752,1806,-14,"DL",1942,"N305DQ","EWR","ATL",105,746,15,45,2013-06-23 15:00:00
2013,4,25,815,820,-5,932,930,2,"AA",1838,"N3BRAA","JFK","BOS",32,187,8,20,2013-04-25 08:00:00
2013,10,18,2015,2000,15,2123,2120,3,"US",2195,"N766US","LGA","DCA",45,214,20,0,2013-10-18 20:00:00
2013,5,23,2015,1729,166,2354,2110,164,"VX",193,"N621VA","EWR","SFO",351,2565,17,29,2013-05-23 17:00:00
2013,7,28,1500,1445,15,1821,1740,41,"AA",759,"N3DWAA","LGA","DFW",206,1389,14,45,2013-07-28 14:00:00
2013,1,26,1123,1125,-2,1249,1305,-16,"AA",327,"N3AMAA","LGA","ORD",122,733,11,25,2013-01-26 11:00:00
2013,10,15,1655,1655,0,1834,1820,14,"WN",2988,"N294WN","LGA","MDW",123,725,16,55,2013-10-15 16:00:00
2013,3,10,1318,1325,-7,1519,1505,14,"MQ",4475,"N723MQ","LGA","RDU",64,431,13,25,2013-03-10 13:00:00
2013,7,18,655,655,0,804,815,-11,"WN",428,"N710SW","LGA","MKE",100,738,6,55,2013-07-18 06:00:00
2013,1,11,1543,1548,-5,1807,1830,-23,"DL",95,"N666DN","JFK","ATL",110,760,15,48,2013-01-11 15:00:00
2013,3,28,1652,1650,2,1805,1820,-15,"AA",1790,"N3FVAA","JFK","BOS",42,187,16,50,2013-03-28 16:00:00
2013,8,13,1155,1159,-4,1320,1314,6,"9E",4097,"N8745B","JFK","BWI",52,184,11,59,2013-08-13 11:00:00
2013,11,19,715,720,-5,829,855,-26,"WN",1975,"N233LV","EWR","BNA",113,748,7,20,2013-11-19 07:00:00
2013,9,9,652,700,-8,1009,1010,-1,"DL",763,"N197DN","JFK","LAX",314,2475,7,0,2013-09-09 07:00:00
2013,2,6,1722,1725,-3,2002,2017,-15,"UA",1109,"N29129","EWR","MCO",136,937,17,25,2013-02-06 17:00:00
2013,12,31,1606,1556,10,1910,1914,-4,"B6",1801,"N585JB","JFK","FLL",164,1069,15,56,2013-12-31 15:00:00
2013,2,11,1556,1335,141,1852,1632,140,"B6",1161,"N563JB","LGA","PBI",146,1035,13,35,2013-02-11 13:00:00
2013,6,9,829,830,-1,1118,1150,-32,"UA",1677,"N75429","EWR","SFO",326,2565,8,30,2013-06-09 08:00:00
2013,4,4,856,845,11,1224,1153,31,"UA",1296,"N76515","EWR","PBI",162,1023,8,45,2013-04-04 08:00:00
2013,1,31,4,2359,5,455,444,11,"B6",739,"N599JB","JFK","PSE",206,1617,23,59,2013-01-31 23:00:00
2013,3,15,900,900,0,1140,1208,-28,"UA",1170,"N33262","EWR","FLL",140,1065,9,0,2013-03-15 09:00:00
2013,8,6,855,855,0,1137,1205,-28,"AA",647,"N5FPAA","JFK","MIA",133,1089,8,55,2013-08-06 08:00:00
2013,12,1,2213,2121,52,2359,2313,46,"EV",4700,"N14568","EWR","CLT",81,529,21,21,2013-12-01 21:00:00
2013,9,3,1820,1827,-7,2031,2034,-3,"US",425,"N520UW","JFK","CLT",84,541,18,27,2013-09-03 18:00:00
2013,4,6,1359,1355,4,1709,1645,24,"B6",1783,"N649JB","JFK","MCO",134,944,13,55,2013-04-06 13:00:00
2013,6,21,949,941,8,1242,1259,-17,"UA",1677,"N35260","EWR","SFO",337,2565,9,41,2013-06-21 09:00:00
2013,6,2,757,800,-3,1007,1017,-10,"DL",715,"N322NB","LGA","MSY",160,1183,8,0,2013-06-02 08:00:00
2013,3,18,1824,1833,-9,2157,2124,33,"B6",711,"N520JB","JFK","LAS",323,2248,18,33,2013-03-18 18:00:00
2013,12,24,1048,1048,0,1418,1354,24,"B6",971,"N621JB","LGA","FLL",178,1076,10,48,2013-12-24 10:00:00
2013,4,12,2222,2100,82,127,2338,109,"B6",399,"N566JB","LGA","MCO",150,950,21,0,2013-04-12 21:00:00
2013,6,13,712,720,-8,925,921,4,"EV",3824,"N15985","EWR","GRR",96,605,7,20,2013-06-13 07:00:00
2013,10,13,920,933,-13,1138,1225,-47,"B6",199,"N526JB","LGA","MCO",120,950,9,33,2013-10-13 09:00:00
2013,6,16,1745,1745,0,1909,1925,-16,"MQ",3301,"N511MQ","LGA","RDU",65,431,17,45,2013-06-16 17:00:00
2013,9,7,1940,1945,-5,2036,2105,-29,"UA",1532,"N34455","EWR","BOS",40,200,19,45,2013-09-07 19:00:00
2013,6,30,713,720,-7,941,958,-17,"UA",1456,"N36280","LGA","IAH",190,1416,7,20,2013-06-30 07:00:00
2013,2,21,1043,1030,13,1348,1340,8,"AA",19,"N332AA","JFK","LAX",344,2475,10,30,2013-02-21 10:00:00
2013,7,18,2354,2225,89,103,2330,93,"EV",5258,"N730EV","LGA","MHT",34,195,22,25,2013-07-18 22:00:00
2013,10,21,917,915,2,1148,1143,5,"EV",5109,"N719EV","LGA","CHS",103,641,9,15,2013-10-21 09:00:00
2013,8,30,755,800,-5,1038,1110,-32,"DL",1271,"N998DL","JFK","FLL",137,1069,8,0,2013-08-30 08:00:00
2013,2,21,701,654,7,952,1002,-10,"UA",1701,"N37267","EWR","FLL",157,1065,6,54,2013-02-21 06:00:00
2013,8,20,2011,1935,36,2158,2120,38,"MQ",3535,"N537MQ","JFK","CMH",73,483,19,35,2013-08-20 19:00:00
2013,7,7,2346,2140,126,114,2300,134,"MQ",3621,"N800MQ","JFK","DCA",46,213,21,40,2013-07-07 21:00:00
2013,9,6,1856,1845,11,2141,2210,-29,"AA",177,"N332AA","JFK","SFO",316,2586,18,45,2013-09-06 18:00:00
2013,9,4,1855,1900,-5,2120,2132,-12,"DL",947,"N926DL","LGA","ATL",102,762,19,0,2013-09-04 19:00:00
2013,11,10,1440,1445,-5,1620,1626,-6,"EV",5951,"N14558","EWR","CLE",79,404,14,45,2013-11-10 14:00:00
2013,1,17,1812,1815,-3,2003,1952,11,"9E",4277,"N602XJ","JFK","ORF",68,290,18,15,2013-01-17 18:00:00
2013,12,2,707,710,-3,1040,1029,11,"UA",821,"N521UA","EWR","SFO",371,2565,7,10,2013-12-02 07:00:00
2013,9,16,759,759,0,932,937,-5,"B6",885,"N283JB","JFK","RDU",71,427,7,59,2013-09-16 07:00:00
2013,2,17,1750,1650,60,1912,1820,52,"AA",1790,"N3HKAA","JFK","BOS",44,187,16,50,2013-02-17 16:00:00
2013,7,13,1505,1505,0,1705,1715,-10,"MQ",3402,"N738MQ","LGA","TVC",94,655,15,5,2013-07-13 15:00:00
2013,12,8,655,700,-5,1032,1040,-8,"DL",430,"N717TW","JFK","SFO",375,2586,7,0,2013-12-08 07:00:00
2013,10,8,735,740,-5,944,945,-1,"EV",4111,"N12552","EWR","CHS",107,628,7,40,2013-10-08 07:00:00
2013,7,22,952,959,-7,1204,1201,3,"US",1222,"N769US","LGA","CLT",81,544,9,59,2013-07-22 09:00:00
2013,3,11,1551,1555,-4,1843,1901,-18,"DL",91,"N3732J","JFK","LAS",301,2248,15,55,2013-03-11 15:00:00
2013,9,12,801,810,-9,936,955,-19,"MQ",3272,"N851MQ","LGA","CLE",69,419,8,10,2013-09-12 08:00:00
2013,8,23,1338,1345,-7,1628,1635,-7,"AA",753,"N3FFAA","LGA","DFW",184,1389,13,45,2013-08-23 13:00:00
2013,4,15,819,829,-10,1034,1034,0,"MQ",4478,"N721MQ","LGA","DTW",88,502,8,29,2013-04-15 08:00:00
2013,5,20,756,800,-4,1042,1050,-8,"B6",625,"N306JB","JFK","HOU",207,1428,8,0,2013-05-20 08:00:00
2013,9,7,1350,1359,-9,1543,1605,-22,"B6",1373,"N231JB","JFK","CHS",88,636,13,59,2013-09-07 13:00:00
2013,1,8,1554,1522,32,1755,1727,28,"EV",4170,"N22909","EWR","GRR",99,605,15,22,2013-01-08 15:00:00
2013,11,4,808,815,-7,934,952,-18,"9E",2906,"N903XJ","JFK","BUF",56,301,8,15,2013-11-04 08:00:00
2013,4,25,2041,1950,51,2203,2121,42,"UA",1703,"N24211","EWR","BOS",37,200,19,50,2013-04-25 19:00:00
2013,11,13,903,910,-7,1046,1025,21,"B6",1634,"N318JB","JFK","BTV",52,266,9,10,2013-11-13 09:00:00
2013,10,24,804,740,24,1107,1035,32,"B6",163,"N179JB","JFK","SRQ",162,1041,7,40,2013-10-24 07:00:00
2013,10,6,1526,1530,-4,1734,1747,-13,"DL",1942,"N326NB","EWR","ATL",108,746,15,30,2013-10-06 15:00:00
2013,11,13,804,810,-6,1110,1108,2,"DL",1109,"N364NB","LGA","TPA",146,1010,8,10,2013-11-13 08:00:00
2013,8,25,1356,1359,-3,1613,1630,-17,"DL",2247,"N665DN","LGA","ATL",97,762,13,59,2013-08-25 13:00:00
2013,6,13,28,2100,208,139,2235,184,"AA",371,"N544AA","LGA","ORD",109,733,21,0,2013-06-13 21:00:00
2013,11,16,1155,1200,-5,1249,1304,-15,"B6",2380,"N229JB","EWR","BOS",36,200,12,0,2013-11-16 12:00:00
2013,7,7,2215,2150,25,111,100,11,"AA",185,"N329AA","JFK","LAX",309,2475,21,50,2013-07-07 21:00:00
2013,11,29,2142,2145,-3,25,46,-21,"B6",1901,"N608JB","JFK","FLL",144,1069,21,45,2013-11-29 21:00:00
2013,1,23,1509,1500,9,1837,1837,0,"DL",963,"N713TW","JFK","LAX",353,2475,15,0,2013-01-23 15:00:00
2013,9,10,550,600,-10,828,856,-28,"B6",601,"N630JB","JFK","FLL",134,1069,6,0,2013-09-10 06:00:00
2013,5,12,1915,1909,6,2213,2235,-22,"B6",87,"N805JB","JFK","SLC",273,1990,19,9,2013-05-12 19:00:00
2013,1,3,1530,1530,0,1857,1855,2,"AA",1039,"N3AUAA","JFK","FLL",172,1069,15,30,2013-01-03 15:00:00
2013,11,6,1428,1425,3,1645,1650,-5,"MQ",3669,"N513MQ","LGA","ATL",113,762,14,25,2013-11-06 14:00:00
2013,5,31,733,740,-7,942,1004,-22,"B6",611,"N184JB","JFK","JAX",111,828,7,40,2013-05-31 07:00:00
2013,10,31,1510,1520,-10,1744,1740,4,"MQ",3532,"N724MQ","LGA","XNA",182,1147,15,20,2013-10-31 15:00:00
2013,8,25,1424,1354,30,1522,1510,12,"B6",118,"N294JB","JFK","BOS",36,187,13,54,2013-08-25 13:00:00
2013,11,11,722,729,-7,1004,1020,-16,"B6",461,"N547JB","LGA","PBI",143,1035,7,29,2013-11-11 07:00:00
2013,7,30,1143,1145,-2,1341,1359,-18,"DL",401,"N3767","EWR","ATL",101,746,11,45,2013-07-30 11:00:00
2013,11,28,1438,1445,-7,1734,1757,-23,"B6",1171,"N663JB","LGA","FLL",155,1076,14,45,2013-11-28 14:00:00
2013,8,18,825,829,-4,954,1004,-10,"MQ",3363,"N812MQ","JFK","RDU",71,427,8,29,2013-08-18 08:00:00
2013,9,29,754,755,-1,948,1017,-29,"UA",561,"N528UA","LGA","DEN",210,1620,7,55,2013-09-29 07:00:00
2013,5,21,2111,2040,31,12,2353,19,"B6",165,"N503JB","JFK","PDX",316,2454,20,40,2013-05-21 20:00:00
2013,9,30,1200,1200,0,1435,1454,-19,"DL",863,"N712TW","JFK","LAX",308,2475,12,0,2013-09-30 12:00:00
2013,8,20,929,930,-1,1231,1248,-17,"UA",1480,"N57439","EWR","SFO",332,2565,9,30,2013-08-20 09:00:00
2013,11,26,1001,1000,1,1254,1311,-17,"UA",1257,"N78524","LGA","IAH",214,1416,10,0,2013-11-26 10:00:00
2013,1,24,1327,1330,-3,1613,1640,-27,"AA",753,"N3GBAA","LGA","DFW",197,1389,13,30,2013-01-24 13:00:00
2013,2,11,1205,1210,-5,1306,1322,-16,"B6",42,"N279JB","JFK","SYR",47,209,12,10,2013-02-11 12:00:00
2013,11,13,1825,1830,-5,2127,2149,-22,"DL",413,"N999DN","JFK","MIA",141,1089,18,30,2013-11-13 18:00:00
2013,12,16,1254,1300,-6,1344,1410,-26,"US",2148,"N963UW","LGA","BOS",34,184,13,0,2013-12-16 13:00:00
2013,9,28,1704,1635,29,1934,1951,-17,"B6",1801,"N554JB","JFK","FLL",123,1069,16,35,2013-09-28 16:00:00
2013,5,25,1257,1300,-3,1631,1645,-14,"DL",315,"N3744F","JFK","SJU",195,1598,13,0,2013-05-25 13:00:00
2013,9,29,1244,1210,34,1433,1425,8,"WN",482,"N965WN","EWR","DEN",212,1605,12,10,2013-09-29 12:00:00
2013,9,14,804,810,-6,902,917,-15,"EV",4696,"N16981","EWR","MHT",40,209,8,10,2013-09-14 08:00:00
2013,2,10,1022,1030,-8,1155,1215,-20,"MQ",4471,"N725MQ","LGA","RDU",72,431,10,30,2013-02-10 10:00:00
2013,5,31,1841,1820,21,2103,2048,15,"9E",3542,"N932XJ","JFK","MSP",163,1029,18,20,2013-05-31 18:00:00
2013,4,25,552,600,-8,906,903,3,"UA",987,"N484UA","EWR","LAX",348,2454,6,0,2013-04-25 06:00:00
2013,8,7,1638,1640,-2,1818,1815,3,"MQ",2949,"N689MQ","JFK","BNA",114,765,16,40,2013-08-07 16:00:00
2013,3,6,1727,1553,94,1924,1808,76,"EV",4684,"N13988","EWR","SDF",98,642,15,53,2013-03-06 15:00:00
2013,4,9,1903,1910,-7,2137,2240,-63,"AA",21,"N332AA","JFK","LAX",317,2475,19,10,2013-04-09 19:00:00
2013,8,22,1037,1030,7,1406,1350,16,"VX",23,"N641VA","JFK","SFO",327,2586,10,30,2013-08-22 10:00:00
2013,7,9,2135,2021,74,2318,2200,78,"UA",1464,"N27724","EWR","CLE",59,404,20,21,2013-07-09 20:00:00
2013,5,24,827,815,12,1031,1008,23,"US",1101,"N188US","EWR","CLT",93,529,8,15,2013-05-24 08:00:00
2013,6,2,2104,1925,99,17,2253,84,"DL",1643,"N614DL","JFK","SEA",333,2422,19,25,2013-06-02 19:00:00
2013,7,23,2237,2030,127,2346,2202,104,"9E",4079,"N8936A","JFK","BWI",34,184,20,30,2013-07-23 20:00:00
2013,8,13,1454,1450,4,1736,1716,20,"9E",3793,"N8694A","JFK","CLT",123,541,14,50,2013-08-13 14:00:00
2013,10,16,1933,1935,-2,2214,2242,-28,"UA",208,"N815UA","EWR","SEA",312,2402,19,35,2013-10-16 19:00:00
2013,6,7,1346,1355,-9,1650,1643,7,"B6",1783,"N598JB","JFK","MCO",148,944,13,55,2013-06-07 13:00:00
2013,9,21,1343,1348,-5,1622,1657,-35,"DL",1779,"N314NB","LGA","FLL",144,1076,13,48,2013-09-21 13:00:00
2013,12,18,1758,1730,28,1909,1851,18,"EV",4300,"N16954","EWR","RIC",51,277,17,30,2013-12-18 17:00:00
2013,4,10,1026,1029,-3,1346,1235,71,"EV",5445,"N600QX","EWR","DTW",111,488,10,29,2013-04-10 10:00:00
2013,11,24,1232,1129,63,1459,1402,57,"EV",3812,"N16559","EWR","ATL",123,746,11,29,2013-11-24 11:00:00
2013,10,22,1731,1730,1,1901,1916,-15,"B6",1185,"N281JB","JFK","RDU",74,427,17,30,2013-10-22 17:00:00
2013,11,22,1936,1946,-10,2042,2052,-10,"EV",4312,"N14950","EWR","DCA",42,199,19,46,2013-11-22 19:00:00
2013,2,1,1722,1725,-3,2043,2050,-7,"UA",512,"N502UA","JFK","SFO",359,2586,17,25,2013-02-01 17:00:00
2013,12,8,952,1000,-8,1134,1135,-1,"MQ",3675,"N824MQ","LGA","BNA",143,764,10,0,2013-12-08 10:00:00
2013,5,14,1405,1415,-10,1557,1610,-13,"MQ",4588,"N517MQ","LGA","MSP",155,1020,14,15,2013-05-14 14:00:00
2013,7,14,904,900,4,1004,1022,-18,"US",2167,"N716UW","LGA","DCA",40,214,9,0,2013-07-14 09:00:00
2013,7,3,1447,1450,-3,1620,1634,-14,"9E",4115,"N8847A","JFK","IAD",48,228,14,50,2013-07-03 14:00:00
2013,1,10,1127,1135,-8,1315,1330,-15,"MQ",4553,"N846MQ","LGA","CLE",73,419,11,35,2013-01-10 11:00:00
2013,11,24,1209,1210,-1,1510,1520,-10,"AA",1143,"N3JGAA","LGA","DFW",208,1389,12,10,2013-11-24 12:00:00
2013,2,13,1203,1205,-2,1308,1325,-17,"WN",644,"N445WN","EWR","MDW",106,711,12,5,2013-02-13 12:00:00
2013,4,27,1520,1530,-10,1816,1831,-15,"DL",1935,"N378NW","LGA","TPA",141,1010,15,30,2013-04-27 15:00:00
2013,7,4,714,715,-1,831,849,-18,"UA",1092,"N78285","LGA","ORD",106,733,7,15,2013-07-04 07:00:00
2013,3,31,1644,1645,-1,1801,1803,-2,"EV",4255,"N14953","EWR","ROC",47,246,16,45,2013-03-31 16:00:00
2013,7,21,2104,1935,89,2236,2120,76,"MQ",3535,"N513MQ","JFK","CMH",71,483,19,35,2013-07-21 19:00:00
2013,2,3,616,615,1,845,820,25,"US",1269,"N712US","JFK","CLT",87,541,6,15,2013-02-03 06:00:00
2013,7,30,730,730,0,1027,1025,2,"AA",33,"N328AA","JFK","LAX",327,2475,7,30,2013-07-30 07:00:00
2013,2,2,706,710,-4,1041,1031,10,"UA",1665,"N73256","EWR","LAX",369,2454,7,10,2013-02-02 07:00:00
2013,1,6,1304,1259,5,1510,1502,8,"US",1459,"N173US","LGA","CLT",98,544,12,59,2013-01-06 12:00:00
2013,9,9,1855,1905,-10,2049,2134,-45,"9E",3285,"N920XJ","JFK","MSY",149,1182,19,5,2013-09-09 19:00:00
2013,2,26,1854,1855,-1,2148,2158,-10,"UA",302,"N408UA","LGA","IAH",209,1416,18,55,2013-02-26 18:00:00
2013,5,13,2024,2020,4,2259,2322,-23,"UA",489,"N847UA","EWR","DFW",163,1372,20,20,2013-05-13 20:00:00
2013,4,25,658,700,-2,959,950,9,"AA",2083,"N424AA","EWR","DFW",218,1372,7,0,2013-04-25 07:00:00
2013,4,4,1631,1634,-3,1912,1926,-14,"UA",1110,"N38467","EWR","IAH",202,1400,16,34,2013-04-04 16:00:00
2013,5,22,1441,1445,-4,1607,1612,-5,"9E",3404,"N906XJ","JFK","BOS",33,187,14,45,2013-05-22 14:00:00
2013,7,5,1150,1200,-10,1258,1318,-20,"EV",4322,"N13994","EWR","ROC",43,246,12,0,2013-07-05 12:00:00
2013,2,13,1730,1730,0,2045,2023,22,"UA",1637,"N26215","EWR","TPA",168,997,17,30,2013-02-13 17:00:00
2013,10,20,1756,1759,-3,2057,2035,22,"DL",61,"N940DL","LGA","ATL",117,762,17,59,2013-10-20 17:00:00
2013,3,1,731,710,21,1056,1022,34,"B6",201,"N586JB","JFK","FLL",181,1069,7,10,2013-03-01 07:00:00
2013,8,12,852,901,-9,1041,1100,-19,"EV",5810,"N14542","EWR","CLT",86,529,9,1,2013-08-12 09:00:00
2013,6,29,17,2245,92,123,3,80,"B6",486,"N358JB","JFK","ROC",46,264,22,45,2013-06-29 22:00:00
2013,2,13,1902,1905,-3,2024,2040,-16,"WN",981,"N743SW","LGA","MKE",110,738,19,5,2013-02-13 19:00:00
2013,9,12,1236,1245,-9,1535,1444,51,"DL",1131,"N364NW","LGA","DTW",84,502,12,45,2013-09-12 12:00:00
2013,12,2,1500,1500,0,1621,1619,2,"US",2185,"N741UW","LGA","DCA",47,214,15,0,2013-12-02 15:00:00
2013,3,5,2128,2138,-10,25,29,-4,"B6",383,"N607JB","LGA","FLL",156,1076,21,38,2013-03-05 21:00:00
2013,7,19,820,830,-10,1029,1032,-3,"EV",4638,"N13553","EWR","CVG",88,569,8,30,2013-07-19 08:00:00
2013,4,29,2031,2000,31,2240,2209,31,"EV",3826,"N14977","EWR","TYS",89,631,20,0,2013-04-29 20:00:00
2013,7,14,705,700,5,928,947,-19,"DL",2285,"N957DL","LGA","MCO",122,950,7,0,2013-07-14 07:00:00
2013,6,21,1604,1600,4,1727,1733,-6,"UA",1217,"N35204","EWR","ORD",111,719,16,0,2013-06-21 16:00:00
2013,2,18,2111,2115,-4,2209,2214,-5,"EV",4404,"N14168","EWR","PVD",35,160,21,15,2013-02-18 21:00:00
2013,6,10,755,800,-5,1102,1105,-3,"B6",25,"N519JB","JFK","FLL",148,1069,8,0,2013-06-10 08:00:00
2013,10,22,1800,1805,-5,2013,2028,-15,"UA",1139,"N37419","EWR","DEN",223,1605,18,5,2013-10-22 18:00:00
2013,10,30,751,800,-9,846,907,-21,"US",2138,"N952UW","LGA","BOS",38,184,8,0,2013-10-30 08:00:00
2013,5,21,736,739,-3,832,841,-9,"EV",3822,"N13908","EWR","BDL",24,116,7,39,2013-05-21 07:00:00
2013,9,7,820,823,-3,926,934,-8,"EV",4240,"N13913","EWR","BUF",49,282,8,23,2013-09-07 08:00:00
2013,3,8,826,830,-4,1100,1015,45,"AA",313,"N433AA","LGA","ORD",108,733,8,30,2013-03-08 08:00:00
2013,8,14,1528,1416,72,1648,1540,68,"EV",4171,"N29917","EWR","MSN",118,799,14,16,2013-08-14 14:00:00
2013,5,12,1725,1725,0,2102,2020,42,"AA",1901,"N3GHAA","JFK","IAH",217,1417,17,25,2013-05-12 17:00:00
2013,6,28,2115,1901,134,42,2213,149,"B6",201,"N236JB","JFK","FLL",163,1069,19,1,2013-06-28 19:00:00
2013,4,26,655,655,0,940,935,5,"AA",1815,"N5CBAA","JFK","MCO",131,944,6,55,2013-04-26 06:00:00
2013,4,27,1558,1600,-2,1823,1902,-39,"DL",161,"N3735D","JFK","LAS",298,2248,16,0,2013-04-27 16:00:00
2013,8,17,533,540,-7,825,840,-15,"AA",701,"N5DVAA","JFK","MIA",151,1089,5,40,2013-08-17 05:00:00
2013,2,26,1858,1755,63,2226,2048,98,"B6",547,"N526JB","EWR","PBI",164,1023,17,55,2013-02-26 17:00:00
2013,7,4,600,600,0,825,834,-9,"B6",27,"N633JB","EWR","MCO",122,937,6,0,2013-07-04 06:00:00
2013,12,10,1106,1030,36,1426,1333,53,"UA",1711,"N37273","EWR","IAH",217,1400,10,30,2013-12-10 10:00:00
2013,9,20,1454,1459,-5,1747,1814,-27,"AA",2297,"N3GSAA","LGA","MIA",138,1096,14,59,2013-09-20 14:00:00
2013,4,21,640,640,0,1040,1040,0,"AA",413,"N3CEAA","JFK","SJU",202,1598,6,40,2013-04-21 06:00:00
2013,8,6,1129,1125,4,1429,1440,-11,"AA",2099,"N3FJAA","LGA","MIA",138,1096,11,25,2013-08-06 11:00:00
2013,3,5,1427,1435,-8,1553,1612,-19,"UA",1528,"N15710","EWR","CLE",62,404,14,35,2013-03-05 14:00:00
2013,11,6,1614,1625,-11,1733,1754,-21,"9E",2904,"N272PQ","JFK","BOS",40,187,16,25,2013-11-06 16:00:00
2013,4,9,825,830,-5,1001,1029,-28,"9E",4220,"N8930E","JFK","RDU",64,427,8,30,2013-04-09 08:00:00
2013,7,11,1909,1825,44,2034,2009,25,"EV",5207,"N752EV","LGA","BGR",51,378,18,25,2013-07-11 18:00:00
2013,2,4,2036,2040,-4,2331,2344,-13,"B6",629,"N324JB","JFK","HOU",209,1428,20,40,2013-02-04 20:00:00
2013,3,4,1823,1830,-7,2129,2205,-36,"AA",269,"N3FUAA","JFK","SEA",335,2422,18,30,2013-03-04 18:00:00
2013,6,17,759,800,-1,1046,1105,-19,"B6",25,"N579JB","JFK","FLL",140,1069,8,0,2013-06-17 08:00:00
2013,12,26,1044,1040,4,1203,1159,4,"B6",2602,"N353JB","JFK","BUF",59,301,10,40,2013-12-26 10:00:00
2013,5,24,2029,1800,149,14,2140,154,"AA",177,"N320AA","JFK","SFO",339,2586,18,0,2013-05-24 18:00:00
2013,8,22,835,824,11,1126,1018,68,"US",1831,"N554UW","JFK","CLT",99,541,8,24,2013-08-22 08:00:00
2013,5,2,733,735,-2,932,1005,-33,"WN",2870,"N948WN","LGA","DEN",217,1620,7,35,2013-05-02 07:00:00
2013,10,11,1119,1120,-1,1243,1230,13,"B6",1307,"N307JB","JFK","IAD",58,228,11,20,2013-10-11 11:00:00
2013,12,1,833,836,-3,941,953,-12,"B6",2280,"N318JB","EWR","BOS",49,200,8,36,2013-12-01 08:00:00
2013,1,11,1302,1308,-6,1527,1542,-15,"FL",348,"N955AT","LGA","ATL",117,762,13,8,2013-01-11 13:00:00
2013,12,26,603,600,3,834,830,4,"WN",1407,"N550WN","LGA","ATL",125,762,6,0,2013-12-26 06:00:00
2013,12,8,1802,1629,93,2017,1759,138,"B6",2302,"N337JB","JFK","BUF",62,301,16,29,2013-12-08 16:00:00
2013,9,21,1324,1325,-1,1620,1625,-5,"WN",3133,"N432WN","EWR","AUS",215,1504,13,25,2013-09-21 13:00:00
